bier_id,biernaam :,omschrijving:,alcoholgehalte:,ettiketafbeelding:,brouwerij:,prijs:
1,Achel 8 Blond,"Dit bier is een bier van de bierstijl Blonde Ale - Belgian Blonde / Golden en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij De Achelse Kluis..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en gelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een muffe fruitachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een citrusachtige boventoon en verder komt er een kruidachtig gevoel naar voren in de mond.","8,00%",img/achel8blond.jpg,De Achelse Kluis,
2,Ardenne Triple,"Dit bier is een bier van de bierstijl Belgian Tripel en wordt zoals hierboven beschreven op de markt gebracht door Brasserie de Bastogne..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder oranjeachtig en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een middelfijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een citrusachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is suikerzoet en het bier heeft een gistbitterheid. De nasmaak heeft een Karamelachtige boventoon en verder komt er een citrusachtig en gistachtig gevoel naar voren in de mond.","8,50%",img/ardennetriple.jpg,Brasserie de Bastogne,
3,Belle-Vue Kriek,,"5,10%",img/bellevuekriek.jpg,Belle-Vue,
4,Bierpruver Triple,"Dit bier is een bier van de bierstijl Belgian Tripel en wordt zoals hierboven beschreven op de markt gebracht door Huisbrouwerij De 3 Vaten. Het bier wordt gebrouwen met/op de brouwinstallaties van .

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur troebel donker blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond geen prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een fruitachtige boventoon en verder komt er een licht kruidachtig gevoel naar voren in de mond.","9,00%",img/bierpruvertriple.jpg,De 3 Vaten,
5,Boerke Blond,,"6,50%",img/boerkeblond.jpg,Microbrouwerij Angerik,
6,Boskeun,"Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij De Dolle Brouwers..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur troebel blond en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een citrusachtige boventoon en verder komt er een licht karamelachtig en gistachtig gevoel naar voren in de mond.","8,90%",img/boskeun.jpg,De Dolle Brouwers,
7,Brugse Zot,"
Dit bier is een bier van de bierstijl Blonde Ale - Belgian Blonde / Golden en wordt zoals hierboven beschreven op de markt gebracht door Huisbrouwerij de Halve Maan..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een middelfijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een fruitachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een licht citrusachtige boventoon en verder komt er een moutachtig en gistachtig gevoel naar voren in de mond.","6,00%",img/brugsezot.jpg,De Halve Maan,
8,Bolleke De Koninck,"
Dit bier is een bier van de bierstijl Pale Ale - Belgian en wordt zoals hierboven beschreven op de markt gebracht door Antwerp City Brewery..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur helder amberachtig en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige licht bruine structuur, die stabiel en ongelijkmatig is verdeelt en na een paar minutjes weg zakt tot een klein blijvend laagje in het glas. Tevens is het schuim licht wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een licht prikkelend gevoel naar voren.

De geur die gelijk opvalt is een karamelachtige geur. De andere geur die ook waarneembaar is, is een fruitachtige geur. De smaak van het bier is zoet en het bier heeft een hoppigbitter. De nasmaak heeft een karamelachtige boventoon en verder komt er een moutachtig gevoel naar voren in de mond.","5,20%",img/bollekedekoninck.jpg,Antwerp City Brewery,
9,Delirium Tremens,"
Dit bier is een bier van de bierstijl Belgian Strong Golden Ale en wordt zoals hierboven beschreven op de markt gebracht door Brouwerij Huyghe..

Het bier komt uit een fles met een kroonkurk en eenmaal uitgeschonken in het glas is de kleur tweeschijn goudgeel en is er in het glas geen bezinksel te zien.

De schuimkraag heeft een fijne romige witte structuur, die stabiel en ongelijkmatig is verdeelt en lang blijft hangen in het glas. Tevens is het schuim niet wand klevend.

Na het inschenken is er in het glas veel koolzuuractiviteit te zien en bij het proeven komt er in de mond een prikkelend gevoel naar voren.

De geur die gelijk opvalt is een moutachtige geur. De andere geur die ook waarneembaar is, is een gistachtige geur. De smaak van het bier is zoet en het bier heeft een gistbitterheid. De nasmaak heeft een fruitachtige boventoon en verder komt er een moutachtig en licht kruidachtig gevoel naar voren in de mond.","9,00%",img/deliriumtremens.jpg,Huyghe,
10,Dulle Teve,,"10,00%",img/dulleteve.jpg,De Dolle Brouwers,
